time_s,x_m,y_m,z_m,ref_x_m,ref_y_m,ref_z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2,roll_rad,pitch_rad,yaw_rad,ft_N,tx_Nm,ty_Nm,tz_Nm,tracking_error_m
0.1,-3648.537709991711,719.1992749717101,13.855525134851002,-3652.537,719.199,13.865,-0.028598369252692317,0.025513187157772094,-0.13330602848102105,-0.4918493931110244,1.163163880517618,0.005011782260597453,-0.05866921017993361,-0.05876399865931627,0.25963189821133215,-3652.537,719.199,3.141592653589793,13.865,3.9993012413518327
0.2,-3648.544851502063,719.2031727973189,13.841735846738395,-3652.537,719.199,13.865,-0.07778330856379476,0.1418295752095339,-0.1328048502549613,-0.04729879063869663,1.4999602724804444,0.1264193326254196,-0.13731608560224914,-0.05997770164151438,0.5389053163034265,-3652.537,719.199,3.141592653589793,13.865,3.9922184637922133
0.30000000000000004,-3648.563469677515,719.2154570351731,13.826757561927433,-3652.537,719.199,13.865,-0.03805812738043163,0.3255052416538611,-0.10802216195593714,1.0112787068263294,1.8767725179000148,0.22047970345680395,-0.19088107122807632,0.01079518870214269,0.809289072146367,-3652.537,719.199,3.141592653589793,13.865,3.9737484245712102
0.4,-3648.594773854787,719.2408064630143,13.809028154442707,-3652.537,719.199,13.865,0.12447243280147108,0.5171840787895369,-0.0887089095636005,2.1384579740940266,1.6797245014330706,0.2256630618960691,-0.21693106939640877,0.07777531019495668,1.0794193615484373,-3652.537,719.199,3.141592653589793,13.865,3.9428451158832005
0.5,-3648.6408076428456,719.2819665370912,13.786887504088865,-3652.537,719.199,13.865,0.3896334674383735,0.6614501419404751,-0.06288954957672332,2.9803187112161824,1.0129790332848096,0.299104949951547,-0.2235746270100336,0.12412849782132124,1.3548951723795954,-3652.537,719.199,3.141592653589793,13.865,3.8978583725221476
0.6000000000000001,-3648.704963624794,719.3388298401966,13.7599399219665,-3652.537,719.199,13.865,0.7205361750447078,0.7197798854464987,-0.028887919573291065,3.3397119533587287,0.167470267893155,0.4113397142292399,-0.21885011343784133,0.15291346115863325,1.6363586838599424,-3652.537,719.199,3.141592653589793,13.865,3.8360256496935885
0.7000000000000001,-3648.791044253012,719.4086602735031,13.729956511246634,-3652.537,719.199,13.865,1.0575758581101196,0.6949441955191062,0.01937839326912466,3.0794527145053543,-0.38894907674057455,0.44995480036769026,-0.212739132686714,0.1516510927095388,1.9035631595634699,-3652.537,719.199,3.141592653589793,13.865,3.7542480781817775
0.8,-3648.902259796463,719.4856038217647,13.70183550329181,-3652.537,719.199,13.865,1.3364267179457785,0.6419900700983838,0.06110304050024695,2.4309254313498734,-0.4659142744256841,0.2538624892077027,-0.21747244165923196,0.11723176550660919,2.1310689521293757,-3652.537,719.199,3.141592653589793,13.865,3.649671320933183
0.9,-3649.0390550887428,719.5607219474067,13.679313176730352,-3652.537,719.199,13.865,1.5437609443800941,0.6017613406339695,0.07015089111066519,1.770953409725725,-0.20818016548992535,0.21051711808417284,-0.23297894897309654,0.07723939523844366,2.3207399370632626,-3652.537,719.199,3.141592653589793,13.865,3.5214969779570593
1.0,-3649.198932070559,719.6249365009396,13.662527776844044,-3652.537,719.199,13.865,1.6906173998909233,0.6003540370003988,0.10320646411708151,1.2390311036197632,0.16678019291418833,0.27618177997765286,-0.2511999620830548,0.04316150119177544,2.4773117117463226,-3652.537,719.199,3.141592653589793,13.865,3.371218534231316
1.1,-3649.378047306842,719.6712196406561,13.651694763416387,-3652.537,719.199,13.865,1.7915671651040466,0.6351173792168071,0.12538724710619575,0.8165866811024145,0.3792836032579281,0.13462476128677892,-0.23215721164193304,0.014364892968636564,2.605083376211323,-3652.537,719.199,3.141592653589793,13.865,3.2011673855931684
1.2000000000000002,-3649.5705910422716,719.6969253347152,13.647436060084248,-3652.537,719.199,13.865,1.8539347361114062,0.6762107576519845,0.13013141637443731,0.4670526137739941,0.3754699169885689,-0.028964423193978073,-0.19673337542715866,-0.00968035218458804,2.7073617881221113,-3652.537,719.199,3.141592653589793,13.865,3.015766206354995
1.3,-3649.7704080936705,719.7031322453631,13.649208223209557,-3652.537,719.199,13.865,1.884977687858845,0.7102113626145208,0.11959436246740014,0.1942008061986833,0.28433639952968015,-0.06572999556026571,-0.15853033514682144,-0.02656396716939056,2.7890584583988804,-3652.537,719.199,3.141592653589793,13.865,2.8204159600867205
1.4000000000000001,-3649.9726752057045,719.6926979059816,13.655456576539809,-3652.537,719.199,13.865,1.8927748973511427,0.7330780375579206,0.1169854172623842,0.0014144359063461565,0.167854960663814,-0.06644506653275051,-0.12304581049223096,-0.036017360422406455,2.8542768380606818,-3652.537,719.199,3.141592653589793,13.865,2.6198106266147967
1.5,-3650.174224949009,719.6689468253954,13.664730209506436,-3652.537,719.199,13.865,1.885260575040114,0.7437823547472835,0.10630534916085005,-0.12172020213289692,0.048959411266274344,-0.04573822570143571,-0.09136177301934333,-0.039833412767723335,2.9068033161013087,-3652.537,719.199,3.141592653589793,13.865,2.417367152351617
1.6,-3650.3731896566132,719.6351484409248,13.675573793369455,-3652.537,719.199,13.865,1.8684308569245636,0.7428699198111756,0.10783777212209711,-0.1921607635044431,-0.05976906592562514,-0.13294828355761285,-0.06430937999355904,-0.03989290004974285,2.9494321314050898,-3652.537,719.199,3.141592653589793,13.865,2.2154419316304077
