time_s,x_m,y_m,z_m,ref_x_m,ref_y_m,ref_z_m,vx_mps,vy_mps,vz_mps,ax_mps2,ay_mps2,az_mps2,roll_rad,pitch_rad,yaw_rad,ft_N,tx_Nm,ty_Nm,tz_Nm,tracking_error_m
0.1,3639108.3069859445,-1008419.2657428276,350.0,3639100.1119260453,-1008418.1691462385,350.0,0.0,0.0,-8.952838470577263e-14,-1.1539801927190367,0.26105497402007427,-0.0716815422526178,0.026641414066894804,0.11806901001024113,0.0,48.999999999995524,2.66414140668948,11.806901001024112,0.0,8.268103218472996
0.2,3639108.2954461426,-1008419.2631322778,349.99928318457745,3639100.1119260453,-1008418.1691462385,350.0,-0.11539801927190368,0.02610549740200743,-0.007168154225351309,-1.3363296816799204,0.38346582273540153,-0.10164739554806076,0.051643020790962536,0.15580372728360425,0.0,48.99999999999921,-0.16398073428270687,-8.033429273687801,0.0,8.25631922533557
0.30000000000000004,3639108.268719549,-1008419.2554629613,349.9972502366665,3639100.1119260453,-1008418.1691462385,350.0,-0.26726593633598417,0.07669316454708033,-0.02032947910970169,-1.6244434024973506,0.6239104737657982,-0.15706717854748314,0.07578111111055513,0.17799840967109018,0.0,48.99999999999867,-0.08635164044751403,-1.5540034885877172,0.0,8.228813513689634
0.4,3639108.2246908788,-1008419.240374202,349.99339207767304,3639100.1119260453,-1008418.1691462385,350.0,-0.4402866997713738,0.15088759215516706,-0.038581589934847935,-1.7841436824895525,0.8594948861587544,-0.2030760077094601,0.09986442699404106,0.18963282317452723,0.0,49.000000000003666,-0.005477443610666559,-1.0560268884048865,0.0,8.18318558130747
0.5,3639108.1622814117,-1008419.2155149878,349.9872976096079,3639100.1119260453,-1008418.1691462385,350.0,-0.6240946728338945,0.24859214177883115,-0.0609446806515937,-1.871100897390201,1.0987653194487996,-0.24409232872221848,0.12486350305269642,0.1970963358974671,0.0,49.00000000000252,0.09157601751694196,-0.41709007804971887,0.0,8.118082928632724
0.6000000000000001,3639108.080830724,-1008419.1784509222,349.97855760403996,3639100.1119260453,-1008418.1691462385,350.0,-0.8145068792494141,0.370640656044927,-0.08740005567929164,-1.9532891590325274,1.3418280844122943,-0.29177849681966783,0.14986350212923344,0.20814827313558232,0.0,49.00000000000398,9.230178816711643e-05,0.35884245151753236,0.0,8.032595937764544
0.7000000000000001,3639107.9793554735,-1008419.1267551464,349.9666275660384,3639100.1119260453,-1008418.1691462385,350.0,-1.0147525046404002,0.5169577586612901,-0.11930038001552729,-2.0473426224562274,1.3746533136147292,-0.3158629058619066,0.13161800732514112,0.21705575070012414,0.0,49.000000000000256,-4.324549388062934,-0.21444596735733676,0.0,7.925564607566644
0.8,3639107.856957933,-1008419.0621980146,349.9515703023533,3639100.1119260453,-1008418.1691462385,350.0,-1.2239754037406594,0.6455713187678728,-0.15057263685167294,-2.136328584323632,1.1637503061164347,-0.3076432499200471,0.10646273557003952,0.22567013377139183,0.0,48.99999999999967,-0.6909776951009272,-0.029309449327413334,0.0,7.796499589647255
0.9,3639107.712756111,-1008418.9872272325,349.93348739935334,3639100.1119260453,-1008418.1691462385,350.0,-1.4420182215051265,0.749707819884577,-0.18082902999953668,-2.1972841007309167,0.9184544415420821,-0.2945842167021465,0.08126737008533119,0.2286683996186092,0.0,49.000000000000085,-0.004009372960672667,-0.561611722405032,0.0,7.645017862915758
1.0,3639107.5464128884,-1008418.9043010118,349.9125384513341,3639100.1119260453,-1008418.1691462385,350.0,-1.6634322238868424,0.8292622070762891,-0.20948948019210223,-2.241104529995079,0.6730675785999991,-0.284292057558056,0.056212383150463195,0.233929470300066,0.0,48.99999999999876,0.014037854984033114,0.2262804834239409,0.0,7.471258038956828
